number,name,link,image,position,club,birthplace,height,mv,age
5,Siyar Kepir,353967,https://img.a.transfermarkt.technology/portrait/big/353967-1466962477.jpg,Centre-Back,Afjet Afyonspor,Adana,185,75000,24
,Mehmet Can Keskin,354142,https://img.a.transfermarkt.technology/portrait/big/354142-1497695866.jpg,Centre-Back,,Adana,,,27
,Muzaffer Özcanli,377798,https://img.a.transfermarkt.technology/portrait/big/377798-1461515920.jpg,Centre-Forward,Silifke Belediye Spor,Adana,185,,33
,Serkan Özkan,378570,https://img.a.transfermarkt.technology/portrait/big/378570-1472257112.jpg,midfield,Kumluca Belediye Spor,Adana,,,28
,Tolgahan Acar,37951,https://img.a.transfermarkt.technology/portrait/big/37951-1572963934.JPG,Goalkeeper,Adana 1954 FK,Adana,185,25000,36
,Burak Yildir,383652,https://img.a.transfermarkt.technology/portrait/big/383652-1493062646.JPG,Defensive Midfield,Saricam Kürkcüler Spor,Adana,,,25
,Cem Taylan,386893,https://img.a.transfermarkt.technology/portrait/big/386893-1472255455.jpg,Goalkeeper,,Adana,,,36
,Ahmet Bener,387965,https://img.a.transfermarkt.technology/portrait/big/387965-1521295581.jpg,Right Winger,Adana 1954 FK,Adana,,,27
2,Ahmet Taner Cukadar,387966,https://img.a.transfermarkt.technology/portrait/big/387966-1580904394.png,Right-Back,Siirt Il Özel Idaresi Spor,Adana,,,24
,Ibrahim Akinci,388201,https://img.a.transfermarkt.technology/portrait/big/388201-1567731577.jpg,Goalkeeper,Alibeyköyspor,Adana,196,,24
,Feyzi Delikanli,388373,https://img.a.transfermarkt.technology/portrait/big/388373-1660931831.png,Goalkeeper,Adana Vefa Spor,Adana,193,,26
,Serbay Can,388380,https://img.a.transfermarkt.technology/portrait/big/388380-1494190991.jpg,Left Midfield,,Adana,,,25
,Sadettin Ceviz,388381,https://img.a.transfermarkt.technology/portrait/big/388381-1494190761.jpg,Goalkeeper,Siverek Belediyespor,Adana,189,,24
,Ahmet Celik,388625,https://img.a.transfermarkt.technology/portrait/big/388625-1504478887.jpg,Right-Back,Carstyle Kilicarslan Spor,Adana,175,,27
,Ilyas Barut,389344,https://img.a.transfermarkt.technology/portrait/big/389344-1503861986.jpg,Defensive Midfield,,Adana,,,33
,Can Taylan,389348,https://img.a.transfermarkt.technology/portrait/big/389348-1602009946.jpg,Centre-Back,Kozan Spor FK,Adana,,,38
5,Emrah Günaydin,391494,https://img.a.transfermarkt.technology/portrait/big/391494-1663504673.png,Centre-Back,Fatsa Belediyespor,Adana,186,,26
15,Sercan Tanirgan,392832,https://img.a.transfermarkt.technology/portrait/big/392832-1464038751.jpg,Central Midfield,Yozgatspor 1959 FK,Adana,178,,26
,Baris Tensi,393366,https://img.a.transfermarkt.technology/portrait/big/393366-1542050981.jpg,Right Winger,Manisa Sanayi Yildiz Spor,Adana,,,26
,Furkan Yildirim,393369,https://img.a.transfermarkt.technology/portrait/big/393369-1637530099.jpg,Left Winger,Inegöl Kafkas Genclikspor,Adana,,,24
,Samet Alpaslan,394783,https://img.a.transfermarkt.technology/portrait/big/394783-1469111745.jpg,Defender,Saricam Kürkcüler Spor,Adana,,,37
,Cabbar Celik,394788,https://img.a.transfermarkt.technology/portrait/big/394788-1639078303.png,Centre-Back,Boyabat 1868 Spor,Adana,,,31
,Mehmet Koc,397338,https://img.a.transfermarkt.technology/portrait/big/397338-1470293959.jpg,Goalkeeper,,Adana,,,38
,Ahmet Can Bagirkan,401162,https://img.a.transfermarkt.technology/portrait/big/401162-1489335304.jpeg,Goalkeeper,Bozcaadaspor,Adana,,,27
,Mahmut Ayas,407714,https://img.a.transfermarkt.technology/portrait/big/407714-1476530404.jpg,Defender,,Adana,,,25
,Semih Kurtulmus,410814,https://img.a.transfermarkt.technology/portrait/big/410814-1497695883.jpg,Centre-Back,Manavgat Belediyespor,Adana,,,25
22,Nusret Can Körümdük,413675,https://img.a.transfermarkt.technology/portrait/big/413675-1603019128.png,Goalkeeper,Ceyhan Spor,Adana,,,25
41,Mehmet Özcan,415881,https://img.a.transfermarkt.technology/portrait/big/415881-1661353833.png,Defensive Midfield,Bandirmaspor,Adana,175,500000,24
,Hakan Kalkan,416005,https://img.a.transfermarkt.technology/portrait/big/416005-1506108599.jpg,Defensive Midfield,,Adana,,,25
33,Gökhan Akkan,419375,https://img.a.transfermarkt.technology/portrait/big/419375-1610245658.jpg,Centre-Back,Tuzlaspor,Adana,185,150000,24
,Sami Yilmaz,424319,https://img.a.transfermarkt.technology/portrait/big/424319-1472257019.jpg,midfield,,Adana,,,23
,Ertugrul Üstündag,424322,https://img.a.transfermarkt.technology/portrait/big/424322-1462575285.jpg,midfield,Islahiye Belediye Genclik Spor,Adana,,,22
,Murat Özdemir,454338,https://img.a.transfermarkt.technology/portrait/big/454338-1472256102.jpg,Defender,,Adana,,,43
,Emre Geben,454346,https://img.a.transfermarkt.technology/portrait/big/454346-1472255759.jpg,midfield,,Adana,,,29
,Vedat Bulut,454965,https://img.a.transfermarkt.technology/portrait/big/454965-1661356506.png,Central Midfield,Adana Vefa Spor,Adana,177,,25
,Özgür Ortac,454966,https://img.a.transfermarkt.technology/portrait/big/454966-1639220347.png,Centre-Back,Adiyaman FK,Adana,,10000,21
,Mesut Kandemir,458027,https://img.a.transfermarkt.technology/portrait/big/458027-1478105123.jpg,Defender,7 Mart Kadirli Demirspor,Adana,,,27
4,Eyüpcan Delibalta,458097,https://img.a.transfermarkt.technology/portrait/big/458097-1534422263.jpg,Centre-Back,Tarsus Idman Yurdu,Adana,192,100000,25
27,Fatih Degirmenci,461919,https://img.a.transfermarkt.technology/portrait/big/461919-1600887213.jpg,Goalkeeper,Catalcaspor,Adana,193,,22
,Ali Benlioglu,491015,https://img.a.transfermarkt.technology/portrait/big/491015-1503862283.jpg,Centre-Back,Beykozspor 1908,Adana,190,,25
,Yunus Emre Aslan,498857,https://img.a.transfermarkt.technology/portrait/big/498857-1521296682.jpg,Goalkeeper,Görelespor,Adana,188,,24
10,Irfan Basaran,50643,https://img.a.transfermarkt.technology/portrait/big/50643-1650219930.png,Attacking Midfield,Iskenderunspor,Adana,168,75000,32
21,Serhat Tunc,534308,https://img.a.transfermarkt.technology/portrait/big/534308-1632613860.jpg,Central Midfield,1954 Kelkit Belediyespor,Adana,,,25
12,Canpolat Celik,540134,https://img.a.transfermarkt.technology/portrait/big/540134-1582809529.jpg,Central Midfield,Bayrampasa Spor,Adana,174,,23
11,Ugurcan Ikikardes,540135,https://img.a.transfermarkt.technology/portrait/big/540135-1639937554.jpg,Right Winger,Belediye Derince Spor,Adana,183,,23
18,Erkam Develi,554868,https://img.a.transfermarkt.technology/portrait/big/554868-1605571098.JPG,Defensive Midfield,Sanliurfaspor,Adana,180,100000,23
,Cengizhan Köksal,577971,https://img.a.transfermarkt.technology/portrait/big/577971-1614014540.jpeg,Left-Back,,Adana,,,57
,Durancan Celebi,580258,https://img.a.transfermarkt.technology/portrait/big/580258-1635534414.jpg,Centre-Back,Adana 1954 FK,Adana,,,26
,Ahmet Kaan Zor,583818,https://img.a.transfermarkt.technology/portrait/big/583818-1605358570.jpg,Right Winger,Saricam Kürkcüler Spor,Adana,,,23
,Ömer Yalcin,58851,https://img.a.transfermarkt.technology/portrait/big/58851-1463926513.jpg,Centre-Forward,,Adana,190,,38
,Ümit Can Batman,58868,https://img.a.transfermarkt.technology/portrait/big/58868-1472257223.jpg,Centre-Forward,,Adana,186,,35
70,Baris Turan,606275,https://img.a.transfermarkt.technology/portrait/big/606275-1632681623.jpg,Left Winger,Bayrampasa Spor,Adana,177,,22
,Hasan Sas,6102,https://img.a.transfermarkt.technology/portrait/big/6102-1414135834.jpg,Right Winger,,Adana,176,,46
,Emre Sonkur,612350,https://img.a.transfermarkt.technology/portrait/big/612350-1652908404.jpg,Centre-Back,Kizilcabölükspor,Adana,,,29
,Cihan Yüce,612398,https://img.a.transfermarkt.technology/portrait/big/612398-1639078180.png,Right-Back,Konya Ereglispor,Adana,,,28
,Sahin Berk,612687,https://img.a.transfermarkt.technology/portrait/big/612687-1544639792.jpg,Central Midfield,,Adana,181,,22
,Firat Cakiroglu,616473,https://img.a.transfermarkt.technology/portrait/big/616473-1568323609.jpg,Attacking Midfield,Nilüfer Belediye FK,Adana,,,24
,Batuhan Özbek,616572,https://img.a.transfermarkt.technology/portrait/big/616572-1536703301.jpg,Centre-Back,Saricam Kürkcüler Spor,Adana,,,26
